Year,Month,Day,Data logger,Date,Toul
2010,3,15,Hobo,2010/3/15,5.65825
2010,3,16,Hobo,2010/3/16,6.866958333
2010,3,17,Hobo,2010/3/17,10.94608333
2010,3,18,Hobo,2010/3/18,12.64979167
2010,3,19,Hobo,2010/3/19,13.92991667
2010,3,20,Hobo,2010/3/20,15.71591667
2010,3,21,Hobo,2010/3/21,12.101625
2010,3,22,Hobo,2010/3/22,10.56854167
2010,3,23,Hobo,2010/3/23,11.74758333
2010,3,24,Hobo,2010/3/24,15.894
2010,3,25,Hobo,2010/3/25,13.65625
2010,3,26,Hobo,2010/3/26,12.234
2010,3,27,Hobo,2010/3/27,11.67879167
2010,3,28,Hobo,2010/3/28,13.42616667
2010,3,29,Hobo,2010/3/29,15.23825
2010,3,30,Hobo,2010/3/30,9.913416667
2010,3,31,Hobo,2010/3/31,8.885291667
2010,4,1,Hobo,2010/4/1,8.351625
2010,4,2,Hobo,2010/4/2,10.58175
2010,4,3,Hobo,2010/4/3,10.25579167
2010,4,4,Hobo,2010/4/4,8.804916667
2010,4,5,Hobo,2010/4/5,9.33275
2010,4,6,Hobo,2010/4/6,13.05641667
2010,4,7,Hobo,2010/4/7,11.32854167
2010,4,8,Hobo,2010/4/8,10.53791667
2010,4,9,Hobo,2010/4/9,12.23704167
2010,4,10,Hobo,2010/4/10,14.687625
2010,4,11,Hobo,2010/4/11,13.95033333
2010,4,12,Hobo,2010/4/12,10.99445833
2010,4,13,Hobo,2010/4/13,8.483875
2010,4,14,Hobo,2010/4/14,8.853958333
2010,4,15,Hobo,2010/4/15,12.26204167
2010,4,16,Hobo,2010/4/16,11.98004167
2010,4,17,Hobo,2010/4/17,13.062125
2010,4,18,Hobo,2010/4/18,13.93545833
2010,4,19,Hobo,2010/4/19,13.40183333
2010,4,20,Hobo,2010/4/20,13.722
2010,4,21,Hobo,2010/4/21,16.300875
2010,4,22,Hobo,2010/4/22,16.30758333
2010,4,23,Hobo,2010/4/23,14.31241667
2010,4,24,Hobo,2010/4/24,16.47566667
2010,4,25,Hobo,2010/4/25,16.261625
2010,4,26,Hobo,2010/4/26,17.00525
2010,4,27,Hobo,2010/4/27,16.126125
2010,4,28,Hobo,2010/4/28,19.431
2010,4,29,Hobo,2010/4/29,19.29345833
2010,4,30,Hobo,2010/4/30,15.721875
2010,5,1,Hobo,2010/5/1,14.36825
2010,5,2,Hobo,2010/5/2,12.58470833
2010,5,3,Hobo,2010/5/3,10.66545833
