Dispositif,Year,SiteName,Valley,Prove,BlockCG,ID,Mother,LU,LC,GS,Elevation
Toulenne,2014,Gedre_bas,Luz,L12,4_Toulenne,L12Q20-5 B3,L12fam20,103,275.5,172.5,1200
Toulenne,2014,Gedre_bas,Luz,L12,4_Toulenne,L12Q20-2 B3,L12fam20,106.8181818,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-8 B4,O12fam37,101.8135593,274.5,172.6864407,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-6 B4,O12fam37,107.6666667,275.25,167.5833333,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-5 B4,O12fam37,106.8181818,274,167.1818182,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-4 B4,O12fam37,101.8135593,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-3 B4,O12fam37,108.5416667,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-2 B4,O12fam37,107.0833333,288.5,181.4166667,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-1 B4,O12fam37,108.75,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-10 B3,O12fam37,108.1578947,284.3333333,176.1754386,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-8 B3,O12fam37,101.8135593,289.5,187.6864407,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-7 B3,O12fam37,101.0555556,281.8529412,180.7973856,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q37-3 B3,O12fam37,114.5,NA,NA,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q8-1 B4,O12fam8,107.6666667,280.75,173.0833333,1200
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q8-5 B3,O12fam8,107.8125,NA,NA,1200
Toulenne,2014,Artouste,Ossau,O16,4_Toulenne,O16Q2-8 B4,O16fam2,107.6666667,278.4615385,170.7948718,1600
Toulenne,2014,Artouste,Ossau,O16,4_Toulenne,O16Q2-7 B4,O16fam2,107.6666667,281.6666667,174,1600
Toulenne,2014,Gabas,Ossau,O12,4_Toulenne,O12Q6-11 B4,O12fam6,108.1578947,NA,NA,1200
Toulenne,2014,Gedre_bas,Luz,L12,1_Toulenne,L12Q32-4 B1,L12fam32,107.0833333,280.75,173.6666667,1200
Toulenne,2014,Gedre_bas,Luz,L12,1_Toulenne,L12Q32-2 B1,L12fam32,108.75,282.1428571,173.3928571,1200
Toulenne,2014,Peguere,Luz,L16,1_Toulenne,L16Q10-10 B3,L16fam10,108.1578947,NA,NA,1600
Toulenne,2014,Gabas,Ossau,O12,1_Toulenne,O12Q8-5 B2,O12fam8,107.0833333,268.625,161.5416667,1200
Toulenne,2014,Gabas,Ossau,O12,1_Toulenne,O12Q8-4 B2,O12fam8,112,277.2307692,165.2307692,1200
Toulenne,2014,Gabas,Ossau,O12,1_Toulenne,O12Q37-12 B2,O12fam37,108.0555556,274.0714286,166.015873,1200
Toulenne,2014,Gabas,Ossau,O12,1_Toulenne,O12Q37-1 B2,O12fam37,107.5,281.5,174,1200
Toulenne,2014,Peguere,Luz,L16,1_Toulenne,L16Q28-2 B3,L16fam28,107.8125,278.4615385,170.6490385,1600
Toulenne,2014,Peguere,Luz,L16,1_Toulenne,L16Q28-1 B3,L16fam28,113.3157895,NA,NA,1600
Toulenne,2014,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q4-2 B3,O8fam4,107.5,275.25,167.75,800
Toulenne,2014,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q4-7 B2,O8fam4,101.4090909,285.4615385,184.0524476,800
Toulenne,2014,Le_Hourcq,Ossau,O8,1_Toulenne,O8Q4-5 B2,O8fam4,108.1578947,NA,NA,800
Toulenne,2014,Artouste,Ossau,O16,1_Toulenne,O16Q5-3 B1,O16fam5,108.3333333,285.4615385,177.1282051,1600
Toulenne,2014,Artouste,Ossau,O16,1_Toulenne,O16Q5-2 B1,O16fam5,107.9411765,275.5,167.5588235,1600
Toulenne,2014,Artouste,Ossau,O16,1_Toulenne,O16Q10-5 B4,O16fam10,109.72,268.5714286,158.8514286,1600
Toulenne,2014,Josbaig,Ossau,O1,1_Toulenne,O1Q31-1 B2,O1fam31,108.1578947,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,1_Toulenne,O1Q31-3 B1,O1fam31,101.5416667,NA,NA,100
Toulenne,2014,Josbaig,Ossau,O1,1_Toulenne,O1Q31-2 B1,O1fam31,102.65,289,186.35,100
Toulenne,2014,Peguere,Luz,L16,1_Toulenne,L16Q19-4 B2,L16fam19,107.8125,296.5,188.6875,1600
Toulenne,2014,Peguere,Luz,L16,1_Toulenne,L16Q19-3 B2,L16fam19,107.8125,NA,NA,1600
Toulenne,2014,Gedre_bas,Luz,L12,1_Toulenne,L12Q20-2 B1,L12fam20,108.2051282,334,225.7948718,1200
Toulenne,2014,Gedre_bas,Luz,L12,1_Toulenne,L12Q20-3 B1,L12fam20,108.5416667,294.75,186.2083333,1200
Toulenne,2014,Gedre_bas,Luz,L12,1_Toulenne,L12Q20-4 B1,L12fam20,108.1578947,327.3076923,219.1497976,1200
